ID Pelanggan,Nama,Jenis Kelamin,Makanan,Harga Makanan,Minuman,Harga Minuman,Total Bayar,Review
1,Nisa,2,Ayam bakar,16000,Jus,5000,21000,4.0
2,Isvi,2,Ayam geprek,16000,Es teler,7000,23000,5.0
3,Nawa,1,Nila bakar,15000,Es jeruk,4000,19000,3.0
4,Zayga,1,Ayam goreng,15000,Es buah,8000,23000,4.0
5,Dekhsa,1,Ayam geprek,16000,Es jeruk,4000,20000,5.0
6,Ulil,1,Lele goreng,11000,Es teh,3000,14000,2.0
7,Nibras,1,Lele bakar,12000,Es teh,3000,15000,1.0
8,Alwy,1,Ayam bakar,16000,Jus,5000,21000,4.0
9,Egi,1,Ayam bakar,16000,Es teler,7000,23000,3.0
10,Naufal,1,Nila bakar,15000,Es buah,8000,23000,5.0
11,Nico,1,Nila goreng,,Es teh,3000,17000,3.0
12,Syamsul,1,Ayam geprek,16000,Es jeruk,4000,20000,2.0
13,Riyan,1,Nila bakar,15000,Es buah,8000,23000,3.0
14,Agil,1,Ayam goreng,15000,Es jeruk,4000,19000,3.0
15,Bayu,1,Nila bakar,15000,Es teler,7000,22000,2.0
16,Difa,1,Nila goreng,14000,Es teh,,17000,4.0
17,Shandika,1,Ayam geprek,16000,Es teh,3000,19000,5.0
3,Nawa,1,Nila bakar,15000,Es jeruk,4000,19000,3.0
18,Dzikri,1,Nila goreng,14000,Es jeruk,4000,18000,5.0
19,Nasywan,1,Lele bakar,12000,Es teler,7000,19000,3.0
20,Salman,1,Ayam geprek,16000,Jus,5000,21000,
21,Rin,2,Ayam goreng,15000,Jus,5000,20000,5.0
22,Hevin,1,Ayam bakar,16000,Jus,5000,21000,2.0
23,Tasya,2,Nila bakar,15000,Es buah,8000,23000,
24,Sita,2,Nila goreng,14000,Es teler,7000,21000,4.0
25,Yogi,1,Lele goreng,11000,Es jeruk,4000,15000,3.0
26,Nova,2,Ayam goreng,15000,Es teh,3000,18000,3.0
27,Figo,1,Ayam geprek,16000,Es teh,3000,19000,2.0
28,Dinda,2,Nila goreng,14000,Es jeruk,4000,18000,4.0
29,Faris,1,Lele goreng,11000,Es teh,3000,14000,2.0
30,Wahyu,1,Nila bakar,15000,Es teh,3000,18000,3.0
31,Humam,1,Ayam geprek,16000,Es jeruk,4000,20000,4.0
32,Adib,1,Ayam bakar,16000,Es buah,8000,24000,3.0
9,Egi,1,Ayam bakar,16000,Es teler,7000,23000,3.0
